p,n_scc,largest_scc
0.000576, 65, 9936
0.000577, 60, 9941
0.000578, 69, 9932
0.000579, 56, 9945
0.000580, 67, 9934
0.000581, 54, 9947
0.000582, 75, 9926
0.000583, 57, 9944
0.000584, 64, 9937
0.000585, 61, 9940
0.000586, 51, 9950
0.000587, 67, 9934
0.000588, 57, 9944
0.000589, 52, 9949
0.000590, 57, 9944
0.000591, 55, 9946
0.000592, 34, 9967
0.000593, 51, 9950
0.000594, 49, 9952
0.000595, 59, 9942
0.000596, 60, 9941
0.000597, 53, 9948
0.000598, 48, 9953
0.000599, 49, 9952
0.000600, 71, 9930
0.000601, 47, 9954
0.000602, 63, 9938
0.000603, 46, 9955
0.000604, 46, 9955
0.000605, 41, 9960
0.000606, 45, 9956
0.000607, 45, 9956
0.000608, 53, 9948
0.000609, 43, 9958
0.000610, 52, 9949
0.000611, 43, 9958
0.000612, 53, 9948
0.000613, 53, 9948
0.000614, 31, 9970
0.000615, 49, 9952
0.000616, 45, 9956
0.000617, 47, 9954
0.000618, 53, 9948
0.000619, 59, 9942
0.000620, 45, 9956
0.000621, 41, 9960
0.000622, 45, 9956
0.000623, 44, 9957
0.000624, 41, 9960
0.000625, 35, 9966
0.000626, 39, 9962
0.000627, 33, 9968
0.000628, 41, 9960
0.000629, 35, 9966
0.000630, 34, 9967
0.000631, 24, 9977
0.000632, 31, 9970
0.000633, 33, 9968
0.000634, 41, 9960
0.000635, 33, 9968
0.000636, 37, 9964
0.000637, 30, 9971
0.000638, 25, 9976
0.000639, 43, 9958
0.000640, 38, 9963
0.000641, 26, 9975
0.000642, 26, 9975
0.000643, 43, 9958
0.000644, 34, 9967
0.000645, 37, 9964
0.000646, 39, 9962
0.000647, 32, 9969
0.000648, 28, 9973
0.000649, 34, 9967
0.000650, 33, 9968
0.000651, 27, 9974
0.000652, 40, 9961
0.000653, 24, 9977
0.000654, 24, 9977
0.000655, 34, 9967
0.000656, 37, 9964
0.000657, 28, 9973
0.000658, 32, 9969
0.000659, 33, 9968
0.000660, 26, 9975
0.000661, 33, 9968
0.000662, 27, 9974
0.000663, 39, 9962
0.000664, 30, 9971
0.000665, 37, 9964
0.000666, 22, 9979
0.000667, 28, 9973
0.000668, 16, 9985
0.000669, 26, 9975
0.000670, 32, 9969
0.000671, 30, 9971
0.000672, 26, 9975
0.000673, 26, 9975
0.000674, 18, 9983
0.000675, 25, 9976
0.000676, 24, 9977
0.000677, 22, 9979
0.000678, 13, 9988
0.000679, 27, 9974
0.000680, 23, 9978
0.000681, 17, 9984
0.000682, 27, 9974
0.000683, 24, 9977
0.000684, 22, 9979
0.000685, 21, 9980
0.000686, 19, 9982
0.000687, 24, 9977
0.000688, 22, 9979
0.000689, 21, 9980
0.000690, 16, 9985
0.000691, 21, 9980
0.000692, 23, 9978
0.000693, 23, 9978
0.000694, 20, 9981
0.000695, 17, 9984
0.000696, 14, 9987
0.000697, 26, 9975
0.000698, 21, 9980
0.000699, 24, 9977
0.000700, 14, 9987
0.000701, 19, 9982
0.000702, 17, 9984
0.000703, 23, 9978
0.000704, 17, 9984
0.000705, 16, 9985
0.000706, 21, 9980
0.000707, 30, 9971
0.000708, 15, 9986
0.000709, 15, 9986
0.000710, 19, 9982
0.000711, 20, 9981
0.000712, 20, 9981
0.000713, 12, 9989
0.000714, 12, 9989
0.000715, 15, 9986
0.000716, 19, 9982
0.000717, 10, 9991
0.000718, 12, 9989
0.000719, 19, 9982
0.000720, 19, 9982
0.000721, 20, 9981
0.000722, 20, 9981
0.000723, 18, 9983
0.000724, 17, 9984
0.000725, 11, 9990
0.000726, 22, 9979
0.000727, 21, 9980
0.000728, 10, 9991
0.000729, 9, 9992
0.000730, 14, 9987
0.000731, 20, 9981
0.000732, 18, 9983
0.000733, 9, 9992
0.000734, 22, 9979
0.000735, 16, 9985
0.000736, 24, 9977
0.000737, 19, 9982
0.000738, 18, 9983
0.000739, 18, 9983
0.000740, 12, 9989
0.000741, 6, 9995
0.000742, 14, 9987
0.000743, 13, 9988
0.000744, 13, 9988
0.000745, 6, 9995
0.000746, 7, 9994
0.000747, 10, 9991
0.000748, 16, 9985
0.000749, 18, 9983
0.000750, 7, 9994
0.000751, 11, 9990
0.000752, 9, 9992
0.000753, 10, 9991
0.000754, 9, 9992
0.000755, 11, 9990
0.000756, 10, 9991
0.000757, 11, 9990
0.000758, 14, 9987
0.000759, 14, 9987
0.000760, 8, 9993
0.000761, 11, 9990
0.000762, 10, 9991
0.000763, 12, 9989
0.000764, 12, 9989
0.000765, 18, 9983
0.000766, 11, 9990
0.000767, 6, 9995
0.000768, 15, 9986
0.000769, 8, 9993
0.000770, 11, 9990
0.000771, 6, 9995
0.000772, 13, 9988
0.000773, 8, 9993
0.000774, 9, 9992
0.000775, 3, 9998
0.000776, 14, 9987
0.000777, 12, 9989
0.000778, 8, 9993
0.000779, 11, 9990
0.000780, 8, 9993
0.000781, 10, 9991
0.000782, 5, 9996
0.000783, 7, 9994
0.000784, 10, 9991
0.000785, 4, 9997
